Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,31,0,1969
2,149,0,1820
3,190,0,1630
4,51,0,1579
5,75,0,1504
6,80,0,1424
7,0,576,2000
8,66,0,1934
9,78,0,1856
10,121,0,1735
11,89,0,1646
12,27,0,1619
13,83,0,1536
14,0,464,2000
15,89,0,1911
16,77,0,1834
17,13,0,1821
18,59,0,1762
19,111,0,1651
20,200,0,1451
21,0,549,2000
22,90,0,1910
23,156,0,1754
24,105,0,1649
25,168,0,1481
26,97,0,1384
27,14,0,1370
28,0,630,2000
29,177,0,1823
30,114,0,1709
31,124,0,1585
32,35,0,1550
33,0,0,1550
34,30,0,1520
35,0,480,2000
36,190,0,1810
37,140,0,1670
38,96,0,1574
39,76,0,1498
40,88,0,1410
41,99,0,1311
42,0,689,2000
43,183,0,1817
44,127,0,1690
45,70,0,1620
46,193,0,1427
47,138,0,1289
48,35,0,1254
49,0,746,2000
